"","GI_18426974-S","GI_41197088-S","GI_17981706-S","GI_41190507-S","GI_33356162-S","Hs.449605-S","GI_37546026-S","Hs.512137-S","GI_37546969-S","Hs.449584-S","Hs.406489-S","GI_18641371-S","Hs.449609-S","hmm3574-S","hmm10298-S","Hs.449602-S","GI_11095446-S","Hs.512124-S","GI_37542230-S","hmm3577-S","GI_21389378-S","GI_27754767-I","GI_13514808-S","GI_13027804-S","GI_4504410-S","GI_11993934-S","GI_33356559-S","GI_37537697-S","hmm10289-S","GI_42660576-S","GI_34915989-S","GI_31377723-S","GI_28416938-S","GI_42656398-S","Hs.449572-S","GI_23065546-A","GI_42662536-S","GI_41190543-S","GI_23510363-A","GI_7661757-S","GI_27482629-S","GI_16554578-S","GI_34222299-S","GI_31652245-I","GI_27754767-A","GI_8923472-S","GI_20070269-S","GI_30795192-A","GI_31077201-S","GI_27894333-A","GI_24308084-S","GI_19743804-A","GI_28610153-S","GI_27764881-S","GI_4507820-S","GI_21464138-A","GI_14211892-S","GI_27894329-S","Hs.185140-S","GI_4505888-A","GI_34222336-S","GI_27477086-S","GI_4504436-S","GI_21614524-S","GI_24497529-I","GI_19224662-S","GI_22027487-S","GI_9961355-S","GI_21389558-S","GI_24797066-S","GI_38569448-S","GI_28557780-S","GI_20302136-S","GI_16159362-S","Hs.171273-S","Hs.136376-S","GI_4502630-S","GI_4504700-S","GI_7657043-S","GI_42476191-S","GI_37546229-S","GI_7662241-S","GI_13325059-S","GI_4505948-S","GI_41350202-S","GI_20373176-S","hmm9615-S","GI_21389548-S","hmm3587-S","GI_7019408-S","GI_37537705-I","GI_31341400-S","GI_18641372-S","GI_30409981-S","GI_5454143-S","GI_40354211-S","GI_18379361-A","GI_20143949-A","GI_4507426-S","GI_14602456-I"
"GI_18426974-S",0,0.59,0,0,0,0,0.03,0,0,0,0,0.27,0,0,0,0,1,0,0,0.02,0,0.11,0,0,1,0,0,0,0,0,0,0.22,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.11,0,0.24,0.11,0,0,0,0,0,0.09,0,0.02,0,0,0,0.18,0,0,0,0,0,0.39,0,0.22,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.22,0.09,0.2,0,0,0,0,0,0
"GI_41197088-S",0,0,0,0,0.3,0,0.17,0,0.03,0,0.07,1,0,0,0,0,0.09,0,0.26,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0.13,0,0,0,0,0,0,0.24,0,0.35,0.09,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.03,0,0,0.03,0,0.4,0.14,0,0,0,0,0,0,0,0,0.09,0.14,0.19,0,0.07,0,0,0,0,0,0,0,0,0,0,0.89,0.03,0.01,0,0,0,0.03,0.05
"GI_17981706-S",0,0,0,0,0,0.12,0,0,0.02,0.03,0.01,0,0,0,0.01,0,0,0,0,0,0.17,0,0,0.08,0,0,0,0.16,0,0,0,0.08,0,0,0,0,0,0,0,0,0.07,0,0,0.03,0.23,0.52,0,0,0,0,0,0.12,0,0.61,0.13,0,1,0,0,0,0,0.05,0,0,0.02,0,0.17,0,0,0,0.06,0,0,0,0.03,0.98,0.13,0,0,0,0,0.08,0,0,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0
"GI_41190507-S",0,0,0,0,0.1,0,0,1,0,0,0.17,0,0,0,0.1,0.05,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.08,0,0,0.3,0,0.34,0,0,0,0,0,0,0,0.36,0,0,0.2,0,0,0,0.05,0,0,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0.02,0.14,0,0,0,0,0.01,0,0,0,0,0.05,0.03,0,0,0,0.23,0,0,0,0,0.13,0,0,0.01,0.07,0,0,0,0,0.24,0,0,0
"GI_33356162-S",0,0,0,0,0,0,0,0.25,0.06,0,0,0.15,0,0.28,0.04,0.29,0,0.09,0.01,0,0.28,0,1,0,0,0.26,0.52,0,0,0,0,0.18,0.02,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.33,0,0,0,0,0,0.28,0,0,0.49,0,0,0,0,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.5,0.01,0.15,0.1,0,0,0,0,0,0,0.57,0
"Hs.449605-S",0,0,0,0,0,0,0,1,1,0,0,0,0,0.13,0,0,0,0.1,0,0,0.09,0,0,0.44,0,0,0.54,0,0.17,0.1,0,0.87,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.21,0,0.23,0,0.27,0,0,0.13,0,0,0.23,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.04,0,0,0,0,0.01,0,0.19,0,0,0,0.19,0,0,0,0,0,0.31,0,0,0,0.28,0.04,0
"GI_37546026-S",0,0,0,0,0,0,0,0.09,1,0,0,0,0,0,0,0.19,0,0,0.2,0,0.05,0,0,0,0,0,0.02,0,0,0.16,0.27,0.38,0,0,0,0.03,0,0,0,0.01,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0.06,0,0.13,0,0,0,0,0,0.27,0,0,0,0,0.05,0,0,0.14,0,0,0,0,0.09,0.03,0.55,0,0,0,0,0,0,0.59,0,0.16,0,0,0,0,0,0,0,0.19,0.2,0,0,0.03,0.01
"Hs.512137-S",0,0,0,0,0,0,0,0,0,0,0.33,0,0.06,0,0,0.08,0.01,1,0.18,0,0,0.02,0.45,0.05,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.23,0.13,0.02,0,0.04,0,0,0,0.01,0.07,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0.09,0.01,0.1,0,0.05,0,0,0.14,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"GI_37546969-S",0,0,0,0,0,0,0,0,0,0,0,0.07,0.27,0,0,0,0.14,0.14,0.07,0,0.06,0.02,0.05,0,0.17,0.1,0,0,0,0,0,1,0,0,0,0.02,0,0,0.08,0.03,0,0,0,0,0,0,0,0,0.41,0,0.13,0.19,0.02,0,0,0,0,0,0,0.17,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0.58,0.02,0,0,0,0.17,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.34,0,0,0
"Hs.449584-S",0,0,0,0,0,0,0,0,0,0,0.37,0.25,0.64,0,0,1,0,0,0.06,0,0.08,0.02,0,0,0,0,0,0,0,0.12,0,0.04,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.07,0.1,0.09,0,0,0,0.1,0.28,0,0,0,0,0,0,0,0,0.07,0,0,0.31,0,0.19,0,0.01,0,0,0,0,0,0,0,0.15,0,0,0,0,0.01,0,0,0,0.14,0,0,0,0.07,0
